id,emo,name,onTime,endTime
1,Happy,1_22,1683976206.923,1683976266.923
2,Neutral,10,1683976545.171,1683976605.171
3,rest,rest,1683976661.523,1683976841.523
4,Sad,1_13,1683976863.214,1683977103.583
5,Fear,1_15,1683977171.547,1683977467.938
6,Proud,proud_09,1683977555.19,1683977750.567
7,Neutral,1,1683977832.7250001,1683978058.113
8,Happy,4,1683978251.238,1683978427.606
9,Fear,3_30,1683978508.0180001,1683978689.382
10,Happy,1,1683978792.043,1683979078.441
11,Proud,proud_14,1683979157.7020001,1683979351.092
12,Sad,3,1683979428.53,1683979581.933
13,Neutral,2,1683979654.361,1683979822.7580001
14,Fear,1_11,1683979897.461,1683979965.8470001
15,Sad,8,1683980060.044,1683980382.363
16,Proud,proud_35,1683980450.629,1683980686.93
17,Neutral,3,1683980752.372,1683980909.7710001
18,Happy,1_3,1683980973.782,1683981212.141
