id,emo,name,onTime,endTime
1,Happy,1_22,1684027733.812,1684027793.812
2,Neutral,10,1684027867.082,1684027927.082
3,rest,rest,1684027968.886,1684028148.886
4,Sad,1_13,1684028170.4429998,1684028410.81
5,Fear,1_15,1684028601.452,1684028897.8509998
6,Proud,proud_09,1684028963.974,1684029159.3569999
7,Neutral,1,1684029246.531,1684029471.927
8,Happy,4,1684029623.651,1684029800.021
9,Fear,3_30,1684029938.574,1684030119.944
10,Happy,1,1684030201.961,1684030488.36
11,Proud,proud_14,1684030568.454,1684030761.85
12,Sad,3,1684030848.174,1684031001.586
13,Neutral,2,1684031085.5679998,1684031253.977
14,Fear,1_11,1684031325.3969998,1684031393.78
15,Sad,8,1684031458.133,1684031780.4399998
16,Proud,proud_35,1684032040.498,1684032276.81
17,Neutral,3,1684032464.299,1684032621.7059999
18,Happy,1_3,1684032685.46,1684032923.8079998
