id,emo,name,onTime,endTime
1,Happy,1_22,1683967110.065,1683967170.065
2,Neutral,10,1683967244.003,1683967304.003
3,rest,rest,1683967392.9220002,1683967572.9220002
4,Sad,1_13,1683967594.1790001,1683967834.54
5,Fear,1_15,1683967898.408,1683968194.803
6,Proud,proud_09,1683968364.97,1683968560.355
7,Neutral,1,1683968630.492,1683968855.8830001
8,Happy,4,1683968953.3400002,1683969129.716
9,Fear,3_30,1683969205.683,1683969387.038
10,Happy,1,1683969528.697,1683969815.095
11,Proud,proud_14,1683969913.175,1683970106.561
12,Sad,3,1683970169.4880002,1683970322.885
13,Neutral,2,1683970435.345,1683970603.743
14,Fear,1_11,1683970669.785,1683970738.164
15,Sad,8,1683970805.308,1683971127.627
16,Proud,proud_35,1683971219.933,1683971456.2350001
17,Neutral,3,1683971524.546,1683971681.9520001
18,Happy,1_3,1683971765.877,1683972004.219
