id,emo,name,onTime,endTime
1,Happy,1_22,1683601350.453,1683601410.453
2,Neutral,10,1683601539.948,1683601599.948
3,rest,rest,1683601648.026,1683601828.026
4,Sad,1_13,1683601852.035,1683602092.404
5,Fear,1_15,1683602156.9320002,1683602453.345
6,Proud,proud_09,1683602581.117,1683602776.507
7,Neutral,1,1683602841.0340002,1683603066.427
8,Happy,4,1683603130.765,1683603307.139
9,Fear,3_30,1683603375.499,1683603556.8730001
10,Happy,1,1683603642.407,1683603928.811
11,Proud,proud_14,1683603994.402,1683604187.792
12,Sad,3,1683604258.6230001,1683604412.03
13,Neutral,2,1683604477.214,1683604645.6160002
14,Fear,1_11,1683604711.4550002,1683604779.8400002
15,Sad,8,1683604844.7250001,1683605167.05
16,Proud,proud_35,1683605233.207,1683605469.519
17,Neutral,3,1683605539.7050002,1683605697.121
18,Happy,1_3,1683605763.285,1683606001.642
19,Happy,1_22,1683615159.413,1683615219.413
20,Neutral,10,1683615299.3730001,1683615359.3730001
21,rest,rest,1683615422.5830002,1683615602.5830002
22,Sad,1_13,1683615626.4090002,1683615866.783
23,Fear,1_15,1683615939.647,1683616236.0410001
24,Proud,proud_09,1683616304.9390001,1683616500.3140001
25,Neutral,1,1683616597.589,1683616822.989
26,Happy,4,1683617105.2940001,1683617281.6690001
27,Fear,3_30,1683617357.653,1683617539.019
28,Happy,1,1683617610.3790002,1683617896.789
29,Proud,proud_14,1683618044.4250002,1683618237.8140001
30,Sad,3,1683618312.617,1683618466.016
31,Neutral,2,1683618601.18,1683618769.579
32,Fear,1_11,1683618840.3260002,1683618908.716
33,Sad,8,1683619083.4420002,1683619405.75
34,Proud,proud_35,1683619473.4090002,1683619709.7240002
35,Neutral,3,1683619799.26,1683619956.6660001
36,Happy,1_3,1683620021.572,1683620259.9350002
