id,emo,name,onTime,endTime
1,Happy,1_22,1683621737.901,1683621797.901
2,Neutral,10,1683621863.396,1683621923.396
3,rest,rest,1683621957.276,1683622137.276
4,Sad,1_13,1683622159.05,1683622399.428
5,Fear,1_15,1683622463.763,1683622760.169
6,Proud,proud_09,1683622824.283,1683623019.657
7,Neutral,1,1683623096.996,1683623322.384
8,Happy,4,1683623386.143,1683623562.5119998
9,Fear,3_30,1683623626.223,1683623807.58
10,Happy,1,1683623871.642,1683624158.0479999
11,Proud,proud_14,1683624223.253,1683624416.6499999
12,Sad,3,1683624482.452,1683624635.855
13,Neutral,2,1683624699.7419999,1683624868.145
14,Fear,1_11,1683624931.029,1683624999.394
15,Sad,8,1683625064.166,1683625386.4789999
16,Proud,proud_35,1683625450.379,1683625686.684
17,Neutral,3,1683625750.3209999,1683625907.73
18,Happy,1_3,1683625973.633,1683626211.98
