id,emo,name,onTime,endTime
1,Happy,1_22,1683812569.9129999,1683812629.9129999
2,Neutral,10,1683812781.597,1683812841.597
3,rest,rest,1683812920.322,1683813100.322
4,Sad,1_13,1683813122.697,1683813363.071
5,Fear,1_15,1683813457.29,1683813753.6859999
6,Proud,proud_09,1683813831.224,1683814026.605
7,Neutral,1,1683814393.868,1683814619.256
8,Happy,4,1683814701.6169999,1683814877.984
9,Fear,3_30,1683814945.3669999,1683815126.723
10,Happy,1,1683815200.279,1683815486.69
11,Proud,proud_14,1683815553.892,1683815747.276
12,Sad,3,1683815812.991,1683815966.392
13,Neutral,2,1683816033.534,1683816201.925
14,Fear,1_11,1683816266.94,1683816335.323
15,Sad,8,1683816403.781,1683816726.09
16,Proud,proud_35,1683816794.064,1683817030.37
17,Neutral,3,1683817100.479,1683817257.8899999
18,Happy,1_3,1683817322.507,1683817560.86
