id,emo,name,onTime,endTime
1,Happy,1_22,1683803200.4859998,1683803260.4859998
2,Neutral,10,1683803362.619,1683803422.619
3,rest,rest,1683803455.7819998,1683803635.7819998
4,Sad,1_13,1683803657.889,1683803898.256
5,Fear,1_15,1683803982.155,1683804278.557
6,Proud,proud_09,1683804351.1999998,1683804546.5779998
7,Neutral,1,1683804618.458,1683804843.858
8,Happy,4,1683804909.29,1683805085.6669998
9,Fear,3_30,1683805151.105,1683805332.465
10,Happy,1,1683805398.692,1683805685.095
11,Proud,proud_14,1683805758.678,1683805952.067
12,Sad,3,1683806023.567,1683806176.971
13,Neutral,2,1683806250.6999998,1683806419.099
14,Fear,1_11,1683806483.9889998,1683806552.379
15,Sad,8,1683806623.449,1683806945.757
16,Proud,proud_35,1683807027.33,1683807263.638
17,Neutral,3,1683807338.9169998,1683807496.327
18,Happy,1_3,1683807561.1109998,1683807799.4689999
